Client Product Type,Client Attribute,Client Attribute Value,Comments,Expression,PT_a,AT_a,VA_a,PT_b,AT_b,VA_b,PT_c,AT_c,VA_c,PT_d,AT_d,VA_d,PT_e,AT_e,VA_e,PT_f,AT_f,VA_f,Rev_AT_a,Rev_VA_a,Rev_AT_b,Rev_VA_b,Rev_AT_c,Rev_VA_c,Rev_AT_d,Rev_VA_d
Tops,Secondary Pattern,Floral,Done,a and b and c,,L2printuw,Floral_tropical,,L1patternuw,Print,,L3Patternuw_FloralTropical,Floral,,,,,,,,,,UWPrintL2,floral,,,,,,
Tops,Secondary Pattern,Geometric Print,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Geometric,,,,,,,,,,UWGeometricL2,geometric,,,,,,
Tops,Secondary Pattern,Graphic,Done,a and b and c,,L2printuw,Block_typography,,L1patternuw,Print,,L3Pattern_BlockTypography,Block Graphic,,,,,,,,,,UWPrintL2,graphic/text,,,,,,
Tops,Secondary Pattern,Graphic Text,,a and b and c,,L2printuw,Block_typography,,L1patternuw,Print,,L3Pattern_BlockTypography,Typography,,,,,,,,,,,,,,,,,
Tops,Secondary Pattern,Houndstooth,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Houndstooth,,,,,,,,,,UWGeometricL2,houndstooth,,,,,,
Tops,Secondary Pattern,Polka Dots,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Polka Dots,,,,,,,,,,UWGeometricL2,polka_dots,,,,,,
Tops,Secondary Pattern,Solid,Done,a and b and c,,L2plainuw,Solid_colorblock,,L1patternuw,Plain,,L3Pattern_SolidCb,Solid,,,,,,,,,,UWPlainL2,solid,,,,,,
Tops,Secondary Pattern,Stripe,Done,a and b and c,,L2printuw,Lines,,L1patternuw,Print,,L3Pattern_Lines,Stripe,,,,,,,,,,UWGeometricL2,stripe,,,,,,
Tops,Secondary Pattern,Texture,Done,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,L3Pattern_Texture,Texture,,,,,,,,,,UWPlainL2,texture,,,,,,
Tops,Secondary Pattern,Ribbed,,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,IsRibbedUW,Ribbed,,,,,,,,,,,,,,,,,
Tops,Secondary Pattern,Tie and Dye,Done,a and b and c,,L2plainuw,Ombre_tiedye,,L1patternuw,Plain,,L3Patternuw_Ombretiedye,Tie and Dye,,,,,,,,,,UWPrintL2,tie_and_dye,,,,,,
Tops,Secondary Pattern,Ombre,,a and b and c,,L2plainuw,Ombre_tiedye,,L1patternuw,Plain,,L3Patternuw_Ombretiedye,Ombre,,,,,,,,,,,,,,,,,
Tops,Secondary Pattern,Tropical,Done,a and b and c,,L2printuw,Floral_tropical,,L1patternuw,Print,,L3Patternuw_FloralTropical,Tropical,,,,,,,,,,UWPrintL2,tropical,,,,,,
Tops,Secondary Pattern,Lace,Done,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,L3Pattern_Texture,Lace,,,,,,,,,,IsLaceSequin,lace,,,,,,
Tops,Secondary Pattern,Paisley,Done,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Paisley,,,,,,,,,,IsPaisley,paisley,,,,,,
Tops,Secondary Pattern,Spot Objects,,a and b and c,,L2printuw,EthnicPrints,,L1patternuw,Print,,L3EthnicPrint,Spot Objects,,,,,,,,,,,,,,,,,
Tops,Secondary Pattern,Sequin,Done,a and b and c,,L2plainuw,Texture,,L1patternuw,Plain,,L3Pattern_Texture,Sequin,,,,,,,,,,IsLaceSequin,sequin,,,,,,
Tops,Secondary Pattern,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Pattern Style,Leopard/Cheetah Print,Done,a and b and c and d,,PatternAnimalPrint,leopard,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,leopard,,,,,,
Tops,Pattern Style,Snake Print,Done,a and b and c and d,,PatternAnimalPrint,snake,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,snake,,,,,,
Tops,Pattern Style,Cow Print,Done,a and b and c and d,,PatternAnimalPrint,cow,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,cow,,,,,,
Tops,Pattern Style,Tiger Print,Done,a and b and c and d,,PatternAnimalPrint,tiger,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,tiger,,,,,,
Tops,Pattern Style,Zebra Print,Done,a and b and c and d,,PatternAnimalPrint,zebra,,L2printuw,Retro_prints,,L1patternuw,Print,,L3Pattern_RetroPrint,Animal Print,,,,,,,PatternAnimalPrint,zebra,,,,,,
Tops,Pattern Style,Gingham Checks,Done,a and b and c and d,top,CheckStyle,gingham,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Check,,,,,,,CheckStyle,gingham,,,,,,
Tops,Pattern Style,Tattersall/Windowpane Checks,Done,a and b and c and d,top,CheckStyle,windowpane,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Check,,,,,,,CheckStyle,windowpane,,,,,,
Tops,Pattern Style,Plaid Checks,Done,a and b and c and d,top,CheckStyle,plaid,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Check,,,,,,,CheckStyle,plaid,,,,,,
Tops,Pattern Style,Plain Checks,Done,a and b and c and d,top,CheckStyle,regular,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Check,,,,,,,CheckStyle,regular,,,,,,
Tops,Pattern Style,Candy Stripes,Done,a and b and c and d,top,isCandy,candy,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Stripe,,,,,,,isCandy,candy,,,,,,
Tops,Pattern Style,Pin/Pencil Stripes,Done,a and b and c and d,top,StripeStyle,thin,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,thin,,,,,,
Tops,Pattern Style,Bengal/Awning Stripes,Done,a and b and c and d,top,StripeStyle,bengal,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,bengal,,,,,,
Tops,Pattern Style,Barcode Stripes,Done,a and b and c and d,top,StripeStyle,barcode,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,barcode,,,,,,
Tops,Pattern Style,Broad Stripes,Done,a and b and c and d,top,StripeStyle,broad,top,L2printuw,Lines,top,L1patternuw,Print,top,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,broad,,,,,,
Tops,Pattern Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Sleeve Length,Sleeveless,Done,(a and b) or (c and d),,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,,,,SleeveLength,sleeveless,,,,,,
Tops,Sleeve Length,Short Sleeve,Done,(a and b) or (c and d),,SleeveLength_Garment,Short,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Short,,,,,,,SleeveLength,short,,,,,,
Tops,Sleeve Length,Cap Sleeve,,(a and b) or (c and d),,SleeveLength_Garment,Cap,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Cap,,,,,,,,,,,,,,
Tops,Sleeve Length,3-4th Sleeve,Done,(a and b) or (c and d),,SleeveLength_Garment,3_4Th,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,3_4Th,,,,,,,SleeveLength,3_4th,,,,,,
Tops,Sleeve Length,Long Sleeve,Done,(a and b) or (c and d),,SleeveLength_Garment,Full,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Full,,,,,,,SleeveLength,full,,,,,,
Tops,Sleeve Length,Elbow Sleeve,,a and b,,Buyma_GarmentType,Model,,SleeveLength_Model,Elbow,,,,,,,,,,,,,,,,,,,,
Tops,Sleeve Length,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Color Tone,Bright,Done,a and (not b),,ColorTone,Bright,,IsNeon,Neon,,,,,,,,,,,,,ColorTone,Bright,,,,,,
Tops,Color Tone,Dark,Done,a,,ColorTone,Dark,,,,,,,,,,,,,,,,ColorTone,Dark,,,,,,
Tops,Color Tone,Neutral,Done,a and (not b),,ColorTone,Neutral,,IsMetallic,Metallic,,,,,,,,,,,,,ColorTone,Neutral,,,,,,
Tops,Color Tone,Pastel,Done,a,,ColorTone,Pastel,,,,,,,,,,,,,,,,ColorTone,Pastel,,,,,,
Tops,Color Tone,Neon,Done,a and b,,IsNeon,Neon,,ColorTone,Bright,,,,,,,,,,,,,IsNeon,Neon,,,,,,
Tops,Color Tone,Metallic,Done,a and b,,IsMetallic,Metallic,,ColorTone,Neutral,,,,,,,,,,,,,IsMetallic,Metallic,,,,,,
Tops,Color Tone,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Strap Type,Halter,Done,a and ((b and c) or (d and e)),,Strap_Type,Halter,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Halter,,,,,,
Tops,Strap Type,Spaghetti ,Done,a and ((b and c) or (d and e)),,Strap_Type,Spaghetti_Strap,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Spaghetti_Strap,,,,,,
Tops,Strap Type,Strapless,Done,a and ((b and c) or (d and e)),,Strap_Type,Strapless,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Strapless,,,,,,
Tops,Strap Type,Wide Strap,Done,a and ((b and c) or (d and e)),,Strap_Type,Wide_Strap,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Wide_Strap,,,,,,
Tops,Strap Type,One Shoulder,Done,a and ((b and c) or (d and e)),,Strap_Type,One_Shoulder,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,One_Shoulder,,,,,,
Tops,Strap Type,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Sleeve Style,Bell/Flounce,Done,((a and b) or (c and d)) and e,top,SleeveLength_Garment,"3_4Th,Full",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full",,SleeveStyle_long,bell_flounce,,,,SleeveStyle_long,bell_flounce,,,,,,
Tops,Sleeve Style,Bishop,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,"3_4Th,Full",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full",,SleeveStyle_long,bishop,,,,SleeveStyle_long,bishop,,,,,,
Tops,Sleeve Style,Leg Of Mutton,Done,((a and b) or (c and d)) and e,top,SleeveLength_Garment,"3_4Th,Full",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full",,SleeveStyle_long,leg_of_mutton,,,,SleeveStyle_long,leg_of_mutton,,,,,,
Tops,Sleeve Style,Raglan,Done,a and b,top,SleeveStyle_raglanbinary,raglan,top,TopsTypeL1,tshirts,,,,,,,,,,,,,SleeveStyle_raglanbinary,raglan,,,,,,
Tops,Sleeve Style,Flared/Flutter,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,SleeveStyle_short,flared_flutter,,,,SleeveStyle_short,flared_flutter,,,,,,
Tops,Sleeve Style,Puff,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,Short,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Short,,SleeveStyle_short,puff,,,,SleeveStyle_short,puff,,,,,,
Tops,Sleeve Style,Regular,Done,((a and b) or (c and d)) and (not e) and (not f),,SleeveLength_Garment,"3_4Th,Full,Short",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full,Short",,SleeveStyle_long,"bell_flounce,bishop,leg_of_mutton",,SleeveStyle_short,"flared_flutter,puff",SleeveLength,"full,short,3_4th",,,,,,
Tops,Sleeve Style,Cold Shoulder,Done,a and (not b) and (not c) and (d and e),,IsColdShoulder,cold_shoulder,,SleeveLength,sleeveless,,NecklineL1_Classifier,"Cowl,Hooded,Collared,Off_Shoulder,Square_Neck,Strapless,One_Shoulder",top,TopsTypeL1,tops,,TopsTypeL2,blouse,,,,IsColdShoulder,cold_shoulder,,,,,,
Tops,Sleeve Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweatshirts,Neckline,Boatneck Bateau,Done,a and b,,NecklineL1_Classifier,Round_Neck,,NecklineL2,boatneck,,,,,,,,,,,,,NecklineL2,boatneck,NecklineL1,round_neck,,,,
Sweatshirts,Neckline,Collared,Done,a,,NecklineL1_Classifier,Collared,,,,,,,,,,,,,,,,NecklineL1,collared,,,,,,
Sweatshirts,Neckline,Cowl,Done,a,,NecklineL1_Classifier,Cowl,,,,,,,,,,,,,,,,NecklineL1,cowl,,,,,,
Sweatshirts,Neckline,Crewneck,Done,a and b,,NecklineL1_Classifier,Round_Neck,,NecklineL2,crew_neck,,,,,,,,,,,,,NecklineL2,crew_neck,NecklineL1,round_neck,,,,
Sweatshirts,Neckline,Highneck,Done,a,,NecklineL1_Classifier,High_Neck,,,,,,,,,,,,,,,,NecklineL1,highneck,,,,,,
Sweatshirts,Neckline,Hooded,Done,a,,NecklineL1_Classifier,Hooded,,,,,,,,,,,,,,,,NecklineL1,hooded,,,,,,
Sweatshirts,Neckline,Off Shoulder,Done,a,,NecklineL1_Classifier,Off_Shoulder,,,,,,,,,,,,,,,,NecklineL1,off_shoulder,,,,,,
Sweatshirts,Neckline,One Shoulder,Done,a,,NecklineL1_Classifier,One_Shoulder,,,,,,,,,,,,,,,,NecklineL1,one_shoulder,,,,,,
Sweatshirts,Neckline,Plunge Neck,Done,a and b,,NecklineL1_Classifier,V_Neck,,PlungeNeckline,Plunge,,,,,,,,,,,,,PlungeNeckline,Plunge,NecklineL1,v_neck,,,,
Sweatshirts,Neckline,Scoop Neck,Done,a and b,,NecklineL1_Classifier,Round_Neck,,NecklineL2,scoop_neck,,,,,,,,,,,,,NecklineL2,scoop_neck,NecklineL1,round_neck,,,,
Sweatshirts,Neckline,Square Neck,Done,a,,NecklineL1_Classifier,Square_Neck,,,,,,,,,,,,,,,,NecklineL1,square_neck,,,,,,
Sweatshirts,Neckline,Strapless,Done,a,,NecklineL1_Classifier,Strapless,,,,,,,,,,,,,,,,NecklineL1,strapless,,,,,,
Sweatshirts,Neckline,Sweetheart Neck,Done,a and b,,NecklineL1_Classifier,"V_Neck,Strapless",,SweetheartNeckline,Sweetheart,,,,,,,,,,,,,SweetheartNeckline,Sweetheart,NecklineL1,"v_neck, strapless",,,,
Sweatshirts,Neckline,V Neck,Done,a,,NecklineL1_Classifier,V_Neck,,,,,,,,,,,,,,,,NecklineL1,v_neck,,,,,,
Tops,Neckline,Boatneck Bateau,Done,a and b,top,NecklineL1_Classifier,Round_Neck,,NecklineL2,boatneck,,,,,,,,,,,,,NecklineL2,boatneck,NecklineL1,round_neck,,,,
Tops,Neckline,Collared,Done,a,top,NecklineL1_Classifier,Collared,,,,,,,,,,,,,,,,NecklineL1,collared,,,,,,
Tops,Neckline,Cowl,Done,a,top,NecklineL1_Classifier,Cowl,,,,,,,,,,,,,,,,NecklineL1,cowl,,,,,,
Tops,Neckline,Crewneck,Done,a and b,top,NecklineL1_Classifier,Round_Neck,,NecklineL2,crew_neck,,,,,,,,,,,,,NecklineL2,crew_neck,NecklineL1,round_neck,,,,
Tops,Neckline,Highneck,Done,a,top,NecklineL1_Classifier,High_Neck,,,,,,,,,,,,,,,,NecklineL1,highneck,,,,,,
Tops,Neckline,Hooded,Done,a,top,NecklineL1_Classifier,Hooded,,,,,,,,,,,,,,,,NecklineL1,hooded,,,,,,
Tops,Neckline,Off Shoulder,Done,a,top,NecklineL1_Classifier,Off_Shoulder,,,,,,,,,,,,,,,,NecklineL1,off_shoulder,,,,,,
Tops,Neckline,One Shoulder,Done,a,top,NecklineL1_Classifier,One_Shoulder,,,,,,,,,,,,,,,,NecklineL1,one_shoulder,,,,,,
Tops,Neckline,Plunge Neck,Done,a and b,top,NecklineL1_Classifier,V_Neck,,PlungeNeckline,Plunge,,,,,,,,,,,,,PlungeNeckline,Plunge,NecklineL1,v_neck,,,,
Tops,Neckline,Scoop Neck,Done,a and b,top,NecklineL1_Classifier,Round_Neck,,NecklineL2,scoop_neck,,,,,,,,,,,,,NecklineL2,scoop_neck,NecklineL1,round_neck,,,,
Tops,Neckline,Square Neck,Done,a,top,NecklineL1_Classifier,Square_Neck,,,,,,,,,,,,,,,,NecklineL1,square_neck,,,,,,
Tops,Neckline,Strapless,Done,a,top,NecklineL1_Classifier,Strapless,,,,,,,,,,,,,,,,NecklineL1,strapless,,,,,,
Tops,Neckline,Sweetheart Neck,Done,a and b,top,NecklineL1_Classifier,"V_Neck,Strapless",,SweetheartNeckline,Sweetheart,,,,,,,,,,,,,SweetheartNeckline,Sweetheart,NecklineL1,"v_neck, strapless",,,,
Tops,Neckline,V Neck,Done,a,top,NecklineL1_Classifier,V_Neck,,,,,,,,,,,,,,,,NecklineL1,v_neck,,,,,,
Tops,Neckline,Split Neck,Done,a and b,top,NecklineL1_Classifier,"V_Neck,Round_Neck,High_Neck",,SplitNeckline,Split_neck,,,,,,,,,,,,,SplitNeckline,Split_neck,,,,,,
Tops,Neckline,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Neckline Detail,Halter,Done,a and ((b and c) or (d and e)),,NecklineDetails,Halter,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,NecklineDetails,Halter,,,,,,
Tops,Neckline Detail,Keyhole,Done,a,,NecklineDetails,Keyhole,,,,,,,,,,,,,,,,NecklineDetails,Keyhole,,,,,,
Tops,Neckline Detail,Henley,Done,a and b,,NecklineDetails,Henley,top,TopsTypeL1,tshirts,,,,,,,,,,,,,NecklineDetails,Henley,,,,,,
Tops,Neckline Detail,Tie Neck,Done,a and b and c,,NecklineDetails,Tie_neck,,NecklineL1_Classifier,"High_Neck,Collared,V_Neck",top,TopsTypeL1,"shirts,tops",,,,,,,,,,NecklineDetails,Tie_neck,,,,,,
Tops,Neckline Detail,Quarter Zip,Done,a,,NecklineDetails,Quarter_zip,,,,,,,,,,,,,,,,NecklineDetails,Quarter_zip,,,,,,
Tops,Neckline Detail,Mock Neck,Done,a and b,,NecklineL1_Classifier,High_Neck,,IsMockNeck,mock_neck,,,,,,,,,,,,,IsMockNeck,mock_neck,,,,,,
Tops,Neckline Detail,Turtle Neck,Done,a and b and (not c),,NecklineL1_Classifier,High_Neck,,IsTurtleNeck,turtleneck,,IsMockNeck,mock_neck,,,,,,,,,,IsTurtleNeck,turtleneck,,,,,,
Tops,Neckline Detail,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Design Details,Crisscross / Lace Up,Done,a,,DesignDetailsUW,crisscross_lace-up,,,,,,,,,,,,,,,,DesignDetailsUW,crisscross_lace-up,,,,,,
Tops,Design Details,Cutout,Done,a,,DesignDetailsUW,cutout,,,,,,,,,,,,,,,,DesignDetailsUW,cutout,,,,,,
Tops,Design Details,Frills / Ruffle,Done,a,,DesignDetailsUW,frills_ruffle,,,,,,,,,,,,,,,,DesignDetailsUW,frills_ruffle,,,,,,
Tops,Design Details,Fringes,Done,a,,DesignDetailsUW,fringes,,,,,,,,,,,,,,,,DesignDetailsUW,fringes,,,,,,
Tops,Design Details,Fur Details,Done,a,,DesignDetailsUW,fur,,,,,,,,,,,,,,,,DesignDetailsUW,fur,,,,,,
Tops,Design Details,Knot,Done,a,,DesignDetailsUW,knot,,,,,,,,,,,,,,,,DesignDetailsUW,knot,,,,,,
Tops,Design Details,Lace Details,Done,a,,DesignDetailsUW,lace,,,,,,,,,,,,,,,,DesignDetailsUW,lace,,,,,,
Tops,Design Details,Pompoms / Tassels,Done,a,,DesignDetailsUW,pompoms_tassels,,,,,,,,,,,,,,,,DesignDetailsUW,pompoms_tassels,,,,,,
Tops,Design Details,Ruched,Done,a,,DesignDetailsUW,ruched,,,,,,,,,,,,,,,,DesignDetailsUW,ruched,,,,,,
Tops,Design Details,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Closure,Button,Done,a,,ClosureType,button,,,,,,,,,,,,,,,,ClosureType,button,,,,,,
Tops,Closure,Zipper,Done,a,,ClosureType,zipper,,,,,,,,,,,,,,,,ClosureType,zipper,,,,,,
Tops,Closure,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Collar,Shirt,Done,a and b,,NecklineL1_Classifier,Collared,,CollarStyle,shirt,,,,,,,,,,,,,CollarStyle,shirt,,,,,,
Tops,Collar,Cape,Done,a and b,,NecklineL1_Classifier,Collared,,CollarStyle,cape,,,,,,,,,,,,,CollarStyle,cape,,,,,,
Tops,Collar,Cascade/Draped,Done,a and b,,NecklineL1_Classifier,Collared,,CollarStyle,cascade,,,,,,,,,,,,,CollarStyle,cascade,,,,,,
Tops,Collar,Mandarin/Stand,Done,a and b,,NecklineL1_Classifier,"Collared,High_Neck",,CollarStyle,"cossack,mandarin",,,,,,,,,,,,,CollarStyle,"cossack,mandarin",,,,,,
Tops,Collar,Peter Pan,Done,a and b,,NecklineL1_Classifier,Collared,,CollarStyle,"chelsea,peterpan",,,,,,,,,,,,,CollarStyle,"chelsea,peterpan",,,,,,
Tops,Collar,Revere,Done,a and b,,NecklineL1_Classifier,Collared,,CollarStyle,revere,,,,,,,,,,,,,CollarStyle,revere,,,,,,
Tops,Collar,Sailor,Done,a and b,,NecklineL1_Classifier,Collared,,CollarStyle,sailor,,,,,,,,,,,,,CollarStyle,sailor,,,,,,
Tops,Collar,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Length,Crop,Done,a,top,TopLength,crop,,,,,,,,,,,,,,,,TopLength,crop,,,,,,
Tops,Length,Short,Done,a,top,TopLength,short,,,,,,,,,,,,,,,,TopLength,short,,,,,,
Tops,Length,Long,Done,a,top,TopLength,long,,,,,,,,,,,,,,,,TopLength,long,,,,,,
Tops,Length,Tucked In,Done,a,top,TopLength,tucked in,,,,,,,,,,,,,,,,TopLength,tucked in,,,,,,
Tops,Length,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Style,Classic,Done,a and b and c,top,StyleOccasionWomen,classic,top,UWPlainL2,"solid,texture,colorblock",top,UWPatternL1,plain,,,,,,,,,,StyleOccasionWomen,classic,,,,,,
Tops,Style,Bohemian,Done,a and (not b),top,StyleOccasionWomen,bohemian,top,StyleOccasionWomen,"formal,officewear",,,,,,,,,,,,,StyleOccasionWomen,bohemian,,,,,,
Tops,Style,Casual,Done,a and (not b),top,StyleOccasionWomen,casual,top,StyleOccasionWomen,"formal,officewear,party",,,,,,,,,,,,,StyleOccasionWomen,casual,,,,,,
Tops,Style,Chic,Done,a and (not b),top,StyleOccasionWomen,chic,top,StyleOccasionWomen,punk,,,,,,,,,,,,,StyleOccasionWomen,chic,,,,,,
Tops,Style,Retro,Done,a,top,StyleOccasionWomen,retro,,,,,,,,,,,,,,,,StyleOccasionWomen,retro,,,,,,
Tops,Style,Formal,Done,a and (not b),top,StyleOccasionWomen,formal,top,StyleOccasionWomen,"party,holiday,punk,bohemian,casual",,,,,,,,,,,,,StyleOccasionWomen,formal,,,,,,
Tops,Style,Punk,Done,a,top,StyleOccasionWomen,punk,,,,,,,,,,,,,,,,StyleOccasionWomen,punk,,,,,,
Tops,Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Active & Lounge Wear,Done,a,,ST_Occasion,Active & Lounge Wear,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Date Night,Done,a,,ST_Occasion,Date Night,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Brunch/Elevated Daytime,Done,a,,ST_Occasion,Elevated Daytime,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,All Day Wear,Done,a,,ST_Occasion,Everyday,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Bride,Done,a,,ST_Occasion,For_The_Bride,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Party,,a,,ST_Occasion,Party,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Vacation,,a,,ST_Occasion,Vacation,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Workwear,,a,,ST_Occasion,Workwear,,,,,,,,,,,,,,,,,,,,,,,
Tops,Occasion,Others,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Event,Big Event,,a,,MainEventUW,Big Event,,,,,,,,,,,,,,,,,,,,,,,
Tops,Event,Small Event,,a,,MainEventUW,Small Event,,,,,,,,,,,,,,,,,,,,,,,
Tops,Event,Business Casual,,a,,MainEventUW,Business Casual,,,,,,,,,,,,,,,,,,,,,,,
Tops,Event,Business Formal,,a,,MainEventUW,Business Formal,,,,,,,,,,,,,,,,,,,,,,,
Tops,Event,Weekend Casual,,a,,MainEventUW,Weekend Casual,,,,,,,,,,,,,,,,,,,,,,,
Tops,Event,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tops,Gender,Women,Done,a,top,Gender,women,,,,,,,,,,,,,,,,Gender,women,,,,,,
Tops,Gender,Men,Done,a,top,Gender,men,,,,,,,,,,,,,,,,Gender,men,,,,,,
Jackets,Type,Fur,Done,a and b,outerwear,OWL2_Winter,fur,,OWL1_OuterwearType,winter,,,,,,,,,,,,,OWL2_Winter,fur,OWL1_OuterwearType,winter,,,,
Jackets,Type,Puffer,Done,a and b,outerwear,OWL2_Winter,puffer,,OWL1_OuterwearType,winter,,,,,,,,,,,,,OWL2_Winter,puffer,OWL1_OuterwearType,winter,,,,
Jackets,Type,Quilted,Done,a and b,outerwear,OWL2_Winter,quilted,,OWL1_OuterwearType,winter,,,,,,,,,,,,,OWL2_Winter,quilted,OWL1_OuterwearType,winter,,,,
Jackets,Type,Shearling,Done,a and b,outerwear,OWL2_Winter,shearling,,OWL1_OuterwearType,winter,,,,,,,,,,,,,OWL2_Winter,shearling,OWL1_OuterwearType,winter,,,,
Jackets,Type,Parka,Done,a and b,outerwear,OWL2_Winter,parka,,OWL1_OuterwearType,winter,,,,,,,,,,,,,OWL2_Winter,parka,OWL1_OuterwearType,winter,,,,
Jackets,Type,Bomber,Done,a and b,outerwear,OWL2_Casual,bomber,,OWL1_OuterwearType,casual,,,,,,,,,,,,,OWL2_Casual,bomber,OWL1_OuterwearType,casual,,,,
Jackets,Type,Motorcycle,Done,a and b,outerwear,OWL2_Casual,motorcycle,,OWL1_OuterwearType,casual,,,,,,,,,,,,,OWL2_Casual,motorcycle,OWL1_OuterwearType,casual,,,,
